id,webpage_id,type,positionX,positionY,currentWidth,currentHeight,minutes,seconds,miliseconds,keypress,scrollPositionY,scrollPositionX,selectedText,shiftPress,ctrlPress
1,1,3,NaN,NaN,828,600,9,36,596,NaN,NaN,NaN,NaN,NaN,NaN
2,2,3,NaN,NaN,828,600,9,39,111,NaN,NaN,NaN,NaN,NaN,NaN
3,3,3,NaN,NaN,828,600,9,40,262,NaN,NaN,NaN,NaN,NaN,NaN
4,1,3,NaN,NaN,828,600,9,41,112,NaN,NaN,NaN,NaN,NaN,NaN
5,2,3,NaN,NaN,828,600,9,44,111,NaN,NaN,NaN,NaN,NaN,NaN
6,3,3,NaN,NaN,828,600,9,45,112,NaN,NaN,NaN,NaN,NaN,NaN
7,1,3,NaN,NaN,828,600,9,46,439,NaN,NaN,NaN,NaN,NaN,NaN
8,2,3,NaN,NaN,828,600,9,49,139,NaN,NaN,NaN,NaN,NaN,NaN
9,3,3,NaN,NaN,828,600,9,50,111,NaN,NaN,NaN,NaN,NaN,NaN
10,1,3,NaN,NaN,828,600,9,50,443,NaN,NaN,NaN,NaN,NaN,NaN
11,2,3,NaN,NaN,828,600,9,54,117,NaN,NaN,NaN,NaN,NaN,NaN
12,3,3,NaN,NaN,828,600,9,55,393,NaN,NaN,NaN,NaN,NaN,NaN
13,1,3,NaN,NaN,828,600,9,55,466,NaN,NaN,NaN,NaN,NaN,NaN
14,2,3,NaN,NaN,828,600,9,59,200,NaN,NaN,NaN,NaN,NaN,NaN
15,3,3,NaN,NaN,828,600,10,0,112,NaN,NaN,NaN,NaN,NaN,NaN
16,1,3,NaN,NaN,828,600,10,1,382,NaN,NaN,NaN,NaN,NaN,NaN
17,2,3,NaN,NaN,828,600,10,4,117,NaN,NaN,NaN,NaN,NaN,NaN
18,3,3,NaN,NaN,828,600,10,5,587,NaN,NaN,NaN,NaN,NaN,NaN
19,1,3,NaN,NaN,828,600,10,6,439,NaN,NaN,NaN,NaN,NaN,NaN
20,2,3,NaN,NaN,828,600,10,9,120,NaN,NaN,NaN,NaN,NaN,NaN
21,1,3,NaN,NaN,828,600,10,10,446,NaN,NaN,NaN,NaN,NaN,NaN
22,2,3,NaN,NaN,828,600,10,14,162,NaN,NaN,NaN,NaN,NaN,NaN
23,1,3,NaN,NaN,828,600,10,15,452,NaN,NaN,NaN,NaN,NaN,NaN
24,2,3,NaN,NaN,828,600,10,19,271,NaN,NaN,NaN,NaN,NaN,NaN
25,3,3,NaN,NaN,828,600,10,20,267,NaN,NaN,NaN,NaN,NaN,NaN
26,1,3,NaN,NaN,828,600,10,20,589,NaN,NaN,NaN,NaN,NaN,NaN
27,2,3,NaN,NaN,828,600,10,24,127,NaN,NaNcd,NaN,NaN,NaN,NaN
28,1,3,NaN,NaN,828,600,10,25,420,NaN,NaN,NaN,NaN,NaN,NaN
29,3,3,NaN,NaN,828,600,10,25,455,NaN,NaN,NaN,NaN,NaN,NaN
30,2,3,NaN,NaN,828,600,10,29,113,NaN,NaN,NaN,NaN,NaN,NaN
31,3,3,NaN,NaN,828,600,10,30,385,NaN,NaN,NaN,NaN,NaN,NaN
32,1,3,NaN,NaN,828,600,10,31,461,NaN,NaN,NaN,NaN,NaN,NaN
33,2,3,NaN,NaN,828,600,10,34,145,NaN,NaN,NaN,NaN,NaN,NaN
34,1,3,NaN,NaN,828,600,10,35,436,NaN,NaN,NaN,NaN,NaN,NaN
35,2,3,NaN,NaN,828,600,10,39,181,NaN,NaN,NaN,NaN,NaN,NaN
36,1,3,NaN,NaN,828,600,10,40,460,NaN,NaN,NaN,NaN,NaN,NaN
37,2,3,NaN,NaN,828,600,10,44,128,NaN,NaN,NaN,NaN,NaN,NaN
38,1,3,NaN,NaN,828,600,10,45,466,NaN,NaN,NaN,NaN,NaN,NaN
39,2,3,NaN,NaN,828,600,10,49,120,NaN,NaN,NaN,NaN,NaN,NaN
40,3,3,NaN,NaN,828,600,10,50,363,NaN,NaN,NaN,NaN,NaN,NaN
41,1,3,NaN,NaN,828,600,10,51,413,NaN,NaN,NaN,NaN,NaN,NaN
42,2,3,NaN,NaN,828,600,10,54,207,NaN,NaN,NaN,NaN,NaN,NaN
43,3,3,NaN,NaN,828,600,10,55,364,NaN,NaN,NaN,NaN,NaN,NaN
44,1,3,NaN,NaN,828,600,10,56,366,NaN,NaN,NaN,NaN,NaN,NaN
45,2,3,NaN,NaN,828,600,10,59,144,NaN,NaN,NaN,NaN,NaN,NaN
46,3,3,NaN,NaN,828,600,11,0,114,NaN,NaN,NaN,NaN,NaN,NaN
47,1,3,NaN,NaN,828,600,11,1,116,NaN,NaN,NaN,NaN,NaN,NaN
1,1,3,NaN,NaN,828,600,9,36,596,NaN,NaN,NaN,NaN,NaN,NaN
2,2,3,NaN,NaN,828,600,9,39,111,NaN,NaN,NaN,NaN,NaN,NaN
3,3,3,NaN,NaN,828,600,9,40,262,NaN,NaN,NaN,NaN,NaN,NaN
4,1,3,NaN,NaN,828,600,9,41,112,NaN,NaN,NaN,NaN,NaN,NaN
5,2,3,NaN,NaN,828,600,9,44,111,NaN,NaN,NaN,NaN,NaN,NaN
6,3,3,NaN,NaN,828,600,9,45,112,NaN,NaN,NaN,NaN,NaN,NaN
7,1,3,NaN,NaN,828,600,9,46,439,NaN,NaN,NaN,NaN,NaN,NaN
8,2,3,NaN,NaN,828,600,9,49,139,NaN,NaN,NaN,NaN,NaN,NaN
9,3,3,NaN,NaN,828,600,9,50,111,NaN,NaN,NaN,NaN,NaN,NaN
10,1,3,NaN,NaN,828,600,9,50,443,NaN,NaN,NaN,NaN,NaN,NaN
11,2,3,NaN,NaN,828,600,9,54,117,NaN,NaN,NaN,NaN,NaN,NaN
12,3,3,NaN,NaN,828,600,9,55,393,NaN,NaN,NaN,NaN,NaN,NaN
13,1,3,NaN,NaN,828,600,9,55,466,NaN,NaN,NaN,NaN,NaN,NaN
14,2,3,NaN,NaN,828,600,9,59,200,NaN,NaN,NaN,NaN,NaN,NaN
15,3,3,NaN,NaN,828,600,10,0,112,NaN,NaN,NaN,NaN,NaN,NaN
16,1,3,NaN,NaN,828,600,10,1,382,NaN,NaN,NaN,NaN,NaN,NaN
17,2,3,NaN,NaN,828,600,10,4,117,NaN,NaN,NaN,NaN,NaN,NaN
18,3,3,NaN,NaN,828,600,10,5,587,NaN,NaN,NaN,NaN,NaN,NaN
19,1,3,NaN,NaN,828,600,10,6,439,NaN,NaN,NaN,NaN,NaN,NaN
20,2,3,NaN,NaN,828,600,10,9,120,NaN,NaN,NaN,NaN,NaN,NaN
21,1,3,NaN,NaN,828,600,10,10,446,NaN,NaN,NaN,NaN,NaN,NaN
22,2,3,NaN,NaN,828,600,10,14,162,NaN,NaN,NaN,NaN,NaN,NaN
23,1,3,NaN,NaN,828,600,10,15,452,NaN,NaN,NaN,NaN,NaN,NaN
24,2,3,NaN,NaN,828,600,10,19,271,NaN,NaN,NaN,NaN,NaN,NaN
25,3,3,NaN,NaN,828,600,10,20,267,NaN,NaN,NaN,NaN,NaN,NaN
26,1,3,NaN,NaN,828,600,10,20,589,NaN,NaN,NaN,NaN,NaN,NaN
27,2,3,NaN,NaN,828,600,10,24,127,NaN,NaN,NaN,NaN,NaN,NaN
28,1,3,NaN,NaN,828,600,10,25,420,NaN,NaN,NaN,NaN,NaN,NaN
29,3,3,NaN,NaN,828,600,10,25,455,NaN,NaN,NaN,NaN,NaN,NaN
30,2,3,NaN,NaN,828,600,10,29,113,NaN,NaN,NaN,NaN,NaN,NaN
31,3,3,NaN,NaN,828,600,10,30,385,NaN,NaN,NaN,NaN,NaN,NaN
32,1,3,NaN,NaN,828,600,10,31,461,NaN,NaN,NaN,NaN,NaN,NaN
33,2,3,NaN,NaN,828,600,10,34,145,NaN,NaN,NaN,NaN,NaN,NaN
34,1,3,NaN,NaN,828,600,10,35,436,NaN,NaN,NaN,NaN,NaN,NaN
35,2,3,NaN,NaN,828,600,10,39,181,NaN,NaN,NaN,NaN,NaN,NaN
36,1,3,NaN,NaN,828,600,10,40,460,NaN,NaN,NaN,NaN,NaN,NaN
37,2,3,NaN,NaN,828,600,10,44,128,NaN,NaN,NaN,NaN,NaN,NaN
38,1,3,NaN,NaN,828,600,10,45,466,NaN,NaN,NaN,NaN,NaN,NaN
39,2,3,NaN,NaN,828,600,10,49,120,NaN,NaN,NaN,NaN,NaN,NaN
40,3,3,NaN,NaN,828,600,10,50,363,NaN,NaN,NaN,NaN,NaN,NaN
41,1,3,NaN,NaN,828,600,10,51,413,NaN,NaN,NaN,NaN,NaN,NaN
42,2,3,NaN,NaN,828,600,10,54,207,NaN,NaN,NaN,NaN,NaN,NaN
43,3,3,NaN,NaN,828,600,10,55,364,NaN,NaN,NaN,NaN,NaN,NaN
44,1,3,NaN,NaN,828,600,10,56,366,NaN,NaN,NaN,NaN,NaN,NaN
45,2,3,NaN,NaN,828,600,10,59,144,NaN,NaN,NaN,NaN,NaN,NaN
46,3,3,NaN,NaN,828,600,11,0,114,NaN,NaN,NaN,NaN,NaN,NaN
47,1,3,NaN,NaN,828,600,11,1,116,NaN,NaN,NaN,NaN,NaN,NaN
48,2,3,NaN,NaN,828,600,11,19,142,NaN,NaN,NaN,NaN,NaN,NaN
49,3,3,NaN,NaN,828,600,11,20,286,NaN,NaN,NaN,NaN,NaN,NaN
50,1,3,NaN,NaN,828,600,11,21,136,NaN,NaN,NaN,NaN,NaN,NaN
51,2,3,NaN,NaN,828,600,11,24,114,NaN,NaN,NaN,NaN,NaN,NaN
52,3,3,NaN,NaN,828,600,11,25,337,NaN,NaN,NaN,NaN,NaN,NaN
53,1,3,NaN,NaN,828,600,11,25,451,NaN,NaN,NaN,NaN,NaN,NaN
54,2,3,NaN,NaN,828,600,11,29,263,NaN,NaN,NaN,NaN,NaN,NaN
55,1,3,NaN,NaN,828,600,11,30,607,NaN,NaN,NaN,NaN,NaN,NaN
56,2,3,NaN,NaN,828,600,11,34,129,NaN,NaN,NaN,NaN,NaN,NaN
57,3,3,NaN,NaN,828,600,11,35,381,NaN,NaN,NaN,NaN,NaN,NaN
58,1,3,NaN,NaN,828,600,11,36,365,NaN,NaN,NaN,NaN,NaN,NaN
59,2,3,NaN,NaN,828,600,11,39,149,NaN,NaN,NaN,NaN,NaN,NaN
60,3,3,NaN,NaN,828,600,11,40,403,NaN,NaN,NaN,NaN,NaN,NaN
61,1,3,NaN,NaN,828,600,11,41,431,NaN,NaN,NaN,NaN,NaN,NaN
62,2,3,NaN,NaN,828,600,11,44,189,NaN,NaN,NaN,NaN,NaN,NaN
63,3,3,NaN,NaN,828,600,11,45,115,NaN,NaN,NaN,NaN,NaN,NaN
64,1,3,NaN,NaN,828,600,11,46,119,NaN,NaN,NaN,NaN,NaN,NaN
65,2,3,NaN,NaN,828,600,11,49,199,NaN,NaN,NaN,NaN,NaN,NaN
66,3,3,NaN,NaN,828,600,11,50,82,NaN,NaN,NaN,NaN,NaN,NaN
67,1,3,NaN,NaN,828,600,11,50,505,NaN,NaN,NaN,NaN,NaN,NaN
68,2,3,NaN,NaN,828,600,11,54,118,NaN,NaN,NaN,NaN,NaN,NaN
